cytokine	receptor	cytokine.hs	receptor.hs
Il4	Il13ra1	IL4	IL13RA1
Il4	Il4ra	IL4	IL4R
Il4	Il2rg	IL4	IL2RG
Il18	Il18rap	IL18	IL18RAP
Il18	Il18r1	IL18	IL18R1
Il1b	Il1rap	IL1B	IL1RAP
Il1b	Il1r1	IL1B	IL1R1
Il1b	Il1r2	IL1B	IL1R2
Il1a	Il1rap	IL1A	IL1RAP
Il1a	Il1r1	IL1A	IL1R1
Il1a	Il1r2	IL1A	IL1R2
Il25	Il17rb	IL25	IL17RB
Il25	Il17ra	IL25	IL17RA
Il17b	Il17rb	IL17B	IL17RB
Il17a	Il17ra	IL17A	IL17RA
Il17a	Il17rc	IL17A	IL17RC
Gdf5	Bmpr1a	GDF5	BMPR1A
Gdf5	Acvr2a	GDF5	ACVR2A
Bmp7	Bmpr1b	BMP7	BMPR1B
Bmp7	Acvr2a	BMP7	ACVR2A
Bmp2	Acvr1	BMP2	ACVR1
Bmp2	Bmpr2	BMP2	BMPR2
Bmp2	Bmpr1b	BMP2	BMPR1B
Bmp2	Bmpr1a	BMP2	BMPR1A
Amh	Acvr1	AMH	ACVR1
Amh	Amhr2	AMH	AMHR2
Inhbe	Acvr1	INHBE	ACVR1
Inhbe	Acvr2a	INHBE	ACVR2A
Inhbe	Acvr1b	INHBE	ACVR1B
Inhbe	Acvr2b	INHBE	ACVR2B
Inhbc	Acvr1	INHBC	ACVR1
Inhbc	Acvr2a	INHBC	ACVR2A
Inhbc	Acvr1b	INHBC	ACVR1B
Inhbc	Acvr2b	INHBC	ACVR2B
Inhbb	Acvr1	INHBB	ACVR1
Inhbb	Acvr2a	INHBB	ACVR2A
Inhbb	Acvr1b	INHBB	ACVR1B
Inhbb	Acvr2b	INHBB	ACVR2B
Inhba	Acvr1	INHBA	ACVR1
Inhba	Acvr2a	INHBA	ACVR2A
Inhba	Acvr1b	INHBA	ACVR1B
Inhba	Acvr2b	INHBA	ACVR2B
Tgfb3	Tgfbr1	TGFB3	TGFBR1
Tgfb3	Tgfbr2	TGFB3	TGFBR2
Tgfb2	Tgfbr1	TGFB2	TGFBR1
Tgfb2	Tgfbr2	TGFB2	TGFBR2
Tgfb1	Tgfbr1	TGFB1	TGFBR1
Tgfb1	Tgfbr2	TGFB1	TGFBR2
Eda	Edar	EDA	EDAR
Eda	Eda2r	EDA	EDA2R
Tnfsf13b	Tnfrsf17	TNFSF13B	TNFRSF17
Tnfsf13b	Tnfrsf13b	TNFSF13B	TNFRSF13B
Tnfsf13b	Tnfrsf13c	TNFSF13B	TNFRSF13C
Tnfsf13	Tnfrsf17	TNFSF13	TNFRSF17
Tnfsf13	Tnfrsf13b	TNFSF13	TNFRSF13B
Tnfsf18	Tnfrsf18	TNFSF18	TNFRSF18
Tnfsf4	Tnfrsf4	TNFSF4	TNFRSF4
Tnfsf9	Tnfrsf9	TNFSF9	TNFRSF9
Tnfsf8	Tnfrsf8	TNFSF8	TNFRSF8
Cd70	Cd27	CD70	CD27
Cd40lg	Cd40	CD40LG	CD40
Fasl	Fas	FASLG	FAS
Tnfsf14	Ltbr	TNFSF14	LTBR
Tnfsf14	Tnfrsf14	TNFSF14	TNFRSF14
Ltb	Ltbr	LTB	LTBR
Lta	Tnfrsf1b	LTA	TNFRSF1B
Lta	Tnfrsf1a	LTA	TNFRSF1A
Lta	Ltbr	LTA	LTBR
Lta	Tnfrsf14	LTA	TNFRSF14
Il22	Il22ra2	IL22	IL22RA2
Il22	Il10rb	IL22	IL10RB
Il22	Il22ra1	IL22	IL22RA1
Il24	Il20ra	IL24	IL20RA
Il24	Il22ra1	IL24	IL22RA1
Il20	Il20ra	IL20	IL20RA
Il20	Il22ra1	IL20	IL22RA1
Il19	Il20ra	IL19	IL20RA
Il10	Il10rb	IL10	IL10RB
Il10	Il10ra	IL10	IL10RA
Ifng	Ifngr2	IFNG	IFNGR2
Ifng	Ifngr1	IFNG	IFNGR1
Ifne	Ifnar2	IFNE	IFNAR2
Ifne	Ifnar1	IFNE	IFNAR1
Ifnk	Ifnar2	IFNK	IFNAR2
Ifnk	Ifnar1	IFNK	IFNAR1
Ifnb1	Ifnar2	IFNB1	IFNAR2
Ifnb1	Ifnar1	IFNB1	IFNAR1
Ifna1	Ifnar2	IFNA1	IFNAR2
Ifna1	Ifnar1	IFNA1	IFNAR1
Ifna2	Ifnar2	IFNA17	IFNAR2
Ifna2	Ifnar1	IFNA17	IFNAR1
Ifna4	Ifnar2	IFNA4	IFNAR2
Ifna4	Ifnar1	IFNA4	IFNAR1
Ifna5	Ifnar2	IFNA5	IFNAR2
Ifna5	Ifnar1	IFNA5	IFNAR1
Ifna6	Ifnar2	IFNA6	IFNAR2
Ifna6	Ifnar1	IFNA6	IFNAR1
Ifna7	Ifnar2	IFNA7	IFNAR2
Ifna7	Ifnar1	IFNA7	IFNAR1
Ifna13	Ifnar2	IFNA13	IFNAR2
Ifna13	Ifnar1	IFNA13	IFNAR1
Ifna14	Ifnar2	IFNA14	IFNAR2
Ifna14	Ifnar1	IFNA14	IFNAR1
Flt3l	Flt3	FLT3LG	FLT3
Csf1	Csf1r	CSF1	CSF1R
Egf	Egfr	EGF	EGFR
Hgf	Met	HGF	MET
Vegfd	Kdr	VEGFD	KDR
Vegfd	Flt4	VEGFD	FLT4
Vegfc	Kdr	VEGFC	KDR
Vegfc	Flt4	VEGFC	FLT4
Vegfa	Flt1	VEGFA	FLT1
Vegfa	Kdr	VEGFA	KDR
Vegfb	Flt1	VEGFB	FLT1
Pdgfb	Pdgfra	PDGFB	PDGFRA
Pdgfb	Pdgfrb	PDGFB	PDGFRB
Pdgfa	Pdgfra	PDGFA	PDGFRA
Pdgfa	Pdgfrb	PDGFA	PDGFRB
Pdgfc	Pdgfra	PDGFC	PDGFRA
Thpo	Mpl	THPO	MPL
Prl	Prlr	PRL	PRLR
Epo	Epor	EPO	EPOR
Tslp	Crlf2	TSLP	CRLF2
Tslp	Il7r	TSLP	IL7R
Il21	Il2rg	IL21	IL2RG
Il21	Il21r	IL21	IL21R
Il15	Il2rg	IL15	IL2RG
Il15	Il15ra	IL15	IL15RA
Il15	Il2rb	IL15	IL2RB
Il9	Il9r	IL9	IL9R
Il9	Il2rg	IL9	IL2RG
Il7	Il7r	IL7	IL7R
Il7	Il2rg	IL7	IL2RG
Il2	Il2rg	IL2	IL2RG
Il2	Il2rb	IL2	IL2RB
Il2	Il2ra	IL2	IL2RA
Il5	Il5ra	IL5	IL5RA
Il5	Csf2rb	IL5	CSF2RB
Il3	Il3ra	IL3	IL3RA
Il3	Csf2rb	IL3	CSF2RB
Csf2	Csf2rb	CSF2	CSF2RB
Csf2	Csf2ra	CSF2	CSF2RA
Il23a	Il12rb1	IL23A	IL12RB1
Il23a	Il23r	IL23A	IL23R
Il12a	Il12rb2	IL12A	IL12RB2
Il12a	Il12rb1	IL12A	IL12RB1
Il12b	Il12rb2	IL12B	IL12RB2
Il12b	Il12rb1	IL12B	IL12RB1
Il13	Il13ra1	IL13	IL13RA1
Il13	Il4ra	IL13	IL4R
Lep	Lepr	LEP	LEPR
Csf3	Csf3r	CSF3	CSF3R
Ctf1	Lifr	CTF1	LIFR
Ctf1	Il6st	CTF1	IL6ST
Clcf1	Cntfr	CLCF1	CNTFR
Clcf1	Lifr	CLCF1	LIFR
Clcf1	Il6st	CLCF1	IL6ST
Cntf	Cntfr	CNTF	CNTFR
Cntf	Lifr	CNTF	LIFR
Cntf	Il6st	CNTF	IL6ST
Lif	Lifr	LIF	LIFR
Lif	Il6st	LIF	IL6ST
Osm	Osmr	OSM	OSMR
Osm	Il6st	OSM	IL6ST
Il11	Il6st	IL11	IL6ST
Il6	Il6st	IL6	IL6ST
Ccl28	Ccr3	CCL28	CCR3
Ccl28	Ccr10	CCL28	CCR10
Ccl26	Ccr3	CCL26	CCR3
Ccl24	Ccr3	CCL24	CCR3
Ccl11	Ccr3	CCL11	CCR3
Ccl8	Ccr3	CCL8	CCR3
Ccl5	Ccr5	CCL5	CCR5
Ccl5	Ccr1	CCL5	CCR1
Ccl5	Ccr3	CCL5	CCR3
Ccl7	Ccr2	CCL7	CCR2
Ccl7	Ccr1	CCL7	CCR1
Ccl3	Ccr5	CCL3	CCR5
Ccl4	Ccr5	CCL4	CCR5
Ccl2	Ccr2	CCL2	CCR2
Ccl19	Ccr7	CCL19	CCR7
Ccl22	Ccr4	CCL22	CCR4
Ccl17	Ccr4	CCL17	CCR4
Ccl25	Ccr9	CCL25	CCR9
Ccl20	Ccr6	CCL20	CCR6
Ccl1	Ccr8	CCL1	CCR8
Cx3cl1	Cx3cr1	CX3CL1	CX3CR1
Xcl1	Xcr1	XCL1	XCR1
Cxcl16	Cxcr6	CXCL16	CXCR6
Cxcl13	Cxcr5	CXCL13	CXCR5
Cxcl12	Cxcr4	CXCL12	CXCR4
Cxcl12	Ackr3	CXCL12	ACKR3
Cxcl11	Cxcr3	CXCL11	CXCR3
Cxcl11	Ackr3	CXCL11	ACKR3
Cxcl10	Cxcr3	CXCL10	CXCR3
Cxcl9	Cxcr3	CXCL9	CXCR3
Ppbp	Cxcr2	PPBP	CXCR2
Cxcl5	Cxcr2	CXCL5	CXCR2
Tnfsf12	Tnfrsf12a	TNFSF12	TNFRSF12A
Tnfsf10	Tnfrsf10b	TNFSF10	TNFRSF10B
Tnfsf10	Tnfrsf11b	TNFSF10	TNFRSF11B
Tnf	Tnfrsf1b	TNF	TNFRSF1B
Tnf	Tnfrsf1a	TNF	TNFRSF1A
Cxcl2	Cxcr2	CXCL2	CXCR2
Cxcl1	Cxcr2	CXCL1	CXCR2
Tnfsf11	Tnfrsf11b	TNFSF11	TNFRSF11B
Tnfsf11	Tnfrsf11a	TNFSF11	TNFRSF11A
Il17f	Il17ra	IL17F	IL17RA
Il17f	Il17rc	IL17F	IL17RC
Il17c	Il17ra	IL17C	IL17RA
Il17c	Il17re	IL17C	IL17RE
