cam	receptor	cam.hs	receptor.hs
Alcam	Cd6	ALCAM	CD6
Spn	Siglec1	SPN	SIGLEC1
Ptprc	Cd22	PTPRC	CD22
Itgb1	Vcam1	ITGB1	VCAM1
Itgb2	Cd226	ITGB2	CD226
Itgb2	Icam1	ITGB2	ICAM1
Itgb2	Icam2	ITGB2	ICAM2
Itgal	Cd226	ITGAL	CD226
Itgal	Icam1	ITGAL	ICAM1
Itgal	Icam2	ITGAL	ICAM2
Cd40	Cd40lg	CD40	CD40LG
Cdh15	Cdh15	CDH15	CDH15
Cdh4	Cdh4	CDH4	CDH4
Cdh3	Cdh3	CDH3	CDH3
Nectin2	Cd226	NECTIN2	CD226
Nectin2	Nectin3	NECTIN2	NECTIN3
Nectin2	Tigit	NECTIN2	TIGIT
Cdh1	Cdh1	CDH1	CDH1
Cldn11	Cldn24	CLDN11	CLDN24
Cldn11	Cldn16	CLDN11	CLDN16
Cldn11	Cldn1	CLDN11	CLDN1
Cldn11	Cldn2	CLDN11	CLDN2
Cldn11	Cldn3	CLDN11	CLDN3
Cldn11	Cldn4	CLDN11	CLDN4
Cldn11	Cldn5	CLDN11	CLDN5
Cldn11	Cldn11	CLDN11	CLDN11
Cldn11	Cldn17	CLDN11	CLDN17
Cldn11	Cldn19	CLDN11	CLDN19
Cldn11	Cldn7	CLDN11	CLDN7
Cldn11	Cldn6	CLDN11	CLDN6
Cldn11	Cldn8	CLDN11	CLDN8
Cldn11	Cldn14	CLDN11	CLDN14
Cldn11	Cldn18	CLDN11	CLDN18
Cldn11	Cldn9	CLDN11	CLDN9
Cldn11	Cldn10	CLDN11	CLDN10
Cldn11	Cldn15	CLDN11	CLDN15
Cldn11	Cldn20	CLDN11	CLDN20
Cldn11	Cldn23	CLDN11	CLDN23
Cldn11	Cldn22	CLDN11	CLDN22
Mag	Mag	MAG	MAG
Mpz	Mpz	MPZ	MPZ
Mpz	Mpzl1	MPZ	MPZL1
Mpzl1	Mpz	MPZL1	MPZ
Mpzl1	Mpzl1	MPZL1	MPZL1
Nectin3	Nectin1	NECTIN3	NECTIN1
Nectin3	Tigit	NECTIN3	TIGIT
Nfasc	Cntnap1	NFASC	CNTNAP1
Nfasc	Cntn1	NFASC	CNTN1
Ptprm	Ptprm	PTPRM	PTPRM
Cntn2	Cntn2	CNTN2	CNTN2
Cntn2	L1cam	CNTN2	L1CAM
Cntn2	Cntnap2	CNTN2	CNTNAP2
Cntn1	Nrcam	CNTN1	NRCAM
Nrxn1	Nlgn1	NRXN1	NLGN1
Nrxn1	Nlgn2	NRXN1	NLGN2
Nrxn1	Nlgn3	NRXN1	NLGN3
Nrxn2	Nlgn1	NRXN2	NLGN1
Nrxn2	Nlgn2	NRXN2	NLGN2
Nrxn2	Nlgn3	NRXN2	NLGN3
Nrxn3	Nlgn1	NRXN3	NLGN1
Nrxn3	Nlgn2	NRXN3	NLGN2
Nrxn3	Nlgn3	NRXN3	NLGN3
Negr1	Negr1	NEGR1	NEGR1
Cadm3	Cadm3	CADM3	CADM3
Cadm1	Cadm1	CADM1	CADM1
Cdh2	Cdh2	CDH2	CDH2
Ncam1	Ncam1	NCAM1	NCAM1
Ncam1	Ncam2	NCAM1	NCAM2
Ncam2	Ncam1	NCAM2	NCAM1
Ncam2	Ncam2	NCAM2	NCAM2
L1cam	L1cam	L1CAM	L1CAM
L1cam	Ncam1	L1CAM	NCAM1
L1cam	Ncam2	L1CAM	NCAM2
Nectin1	Nectin1	NECTIN1	NECTIN1
Pvr	Cd226	PVR	CD226
Pvr	Tigit	PVR	TIGIT
Sele	Glg1	SELE	GLG1
Selp	Selplg	SELP	SELPLG
Selplg	Selp	SELPLG	SELP
Selplg	Sele	SELPLG	SELE
Cd34	Sell	CD34	SELL
Sell	Madcam1	SELL	MADCAM1
Madcam1	Itgb7	MADCAM1	ITGB7
Madcam1	Itga4	MADCAM1	ITGA4
Vcam1	Itgb7	VCAM1	ITGB7
Vcam1	Itga4	VCAM1	ITGA4
Itga9	Vcam1	ITGA9	VCAM1
Itga4	Vcam1	ITGA4	VCAM1
Cd99	Cd99	CD99	CD99
Pecam1	Pecam1	PECAM1	PECAM1
Icam1	Itgb2	ICAM1	ITGB2
Icam1	Itgal	ICAM1	ITGAL
Icam2	Itgb2	ICAM2	ITGB2
Icam2	Itgal	ICAM2	ITGAL
Icam2	Itgam	ICAM2	ITGAM
Jam2	Jam2	JAM2	JAM2
Jam2	Jam3	JAM2	JAM3
Jam2	Itgb1	JAM2	ITGB1
Jam2	Itga4	JAM2	ITGA4
Jam3	Jam2	JAM3	JAM2
Jam3	Jam3	JAM3	JAM3
Jam3	Itgb2	JAM3	ITGB2
Jam3	Itgam	JAM3	ITGAM
Itgam	Icam1	ITGAM	ICAM1
F11r	F11r	F11R	F11R
F11r	Jam2	F11R	JAM2
F11r	Jam3	F11R	JAM3
F11r	Itgb2	F11R	ITGB2
F11r	Itgal	F11R	ITGAL
Cd40lg	Cd40	CD40LG	CD40
Cdh5	Cdh5	CDH5	CDH5
Esam	Esam	ESAM	ESAM
Pdcd1lg2	Pdcd1	PDCD1LG2	PDCD1
Cd274	Pdcd1	CD274	PDCD1
Cd274	Cd80	CD274	CD80
H2-Aa	Cd4	HLA-DQA1	CD4
H2-DMa	Cd4	HLA-DMA	CD4
H2-Oa	Cd4	HLA-DOA	CD4
H2-Ob	Cd4	HLA-DOB	CD4
Cd86	Cd28	CD86	CD28
Cd86	Ctla4	CD86	CTLA4
Cd80	Cd28	CD80	CD28
Cd80	Ctla4	CD80	CTLA4
Cd80	Cd274	CD80	CD274
Cd28	Cd80	CD28	CD80
Ocln	Ocln	OCLN	OCLN
Cldn24	Cldn24	CLDN24	CLDN24
Cldn24	Cldn16	CLDN24	CLDN16
Cldn24	Cldn1	CLDN24	CLDN1
Cldn24	Cldn2	CLDN24	CLDN2
Cldn24	Cldn3	CLDN24	CLDN3
Cldn24	Cldn4	CLDN24	CLDN4
Cldn24	Cldn5	CLDN24	CLDN5
Cldn24	Cldn11	CLDN24	CLDN11
Cldn24	Cldn17	CLDN24	CLDN17
Cldn24	Cldn19	CLDN24	CLDN19
Cldn24	Cldn7	CLDN24	CLDN7
Cldn24	Cldn6	CLDN24	CLDN6
Cldn24	Cldn8	CLDN24	CLDN8
Cldn24	Cldn14	CLDN24	CLDN14
Cldn24	Cldn18	CLDN24	CLDN18
Cldn24	Cldn9	CLDN24	CLDN9
Cldn24	Cldn10	CLDN24	CLDN10
Cldn24	Cldn15	CLDN24	CLDN15
Cldn24	Cldn20	CLDN24	CLDN20
Cldn24	Cldn23	CLDN24	CLDN23
Cldn24	Cldn22	CLDN24	CLDN22
Cldn16	Cldn24	CLDN16	CLDN24
Cldn16	Cldn16	CLDN16	CLDN16
Cldn16	Cldn1	CLDN16	CLDN1
Cldn16	Cldn2	CLDN16	CLDN2
Cldn16	Cldn3	CLDN16	CLDN3
Cldn16	Cldn4	CLDN16	CLDN4
Cldn16	Cldn5	CLDN16	CLDN5
Cldn16	Cldn11	CLDN16	CLDN11
Cldn16	Cldn17	CLDN16	CLDN17
Cldn16	Cldn19	CLDN16	CLDN19
Cldn16	Cldn7	CLDN16	CLDN7
Cldn16	Cldn6	CLDN16	CLDN6
Cldn16	Cldn8	CLDN16	CLDN8
Cldn16	Cldn14	CLDN16	CLDN14
Cldn16	Cldn18	CLDN16	CLDN18
Cldn16	Cldn9	CLDN16	CLDN9
Cldn16	Cldn10	CLDN16	CLDN10
Cldn16	Cldn15	CLDN16	CLDN15
Cldn16	Cldn20	CLDN16	CLDN20
Cldn16	Cldn23	CLDN16	CLDN23
Cldn16	Cldn22	CLDN16	CLDN22
Cldn1	Cldn24	CLDN1	CLDN24
Cldn1	Cldn16	CLDN1	CLDN16
Cldn1	Cldn1	CLDN1	CLDN1
Cldn1	Cldn2	CLDN1	CLDN2
Cldn1	Cldn3	CLDN1	CLDN3
Cldn1	Cldn4	CLDN1	CLDN4
Cldn1	Cldn5	CLDN1	CLDN5
Cldn1	Cldn11	CLDN1	CLDN11
Cldn1	Cldn17	CLDN1	CLDN17
Cldn1	Cldn19	CLDN1	CLDN19
Cldn1	Cldn7	CLDN1	CLDN7
Cldn1	Cldn6	CLDN1	CLDN6
Cldn1	Cldn8	CLDN1	CLDN8
Cldn1	Cldn14	CLDN1	CLDN14
Cldn1	Cldn18	CLDN1	CLDN18
Cldn1	Cldn9	CLDN1	CLDN9
Cldn1	Cldn10	CLDN1	CLDN10
Cldn1	Cldn15	CLDN1	CLDN15
Cldn1	Cldn20	CLDN1	CLDN20
Cldn1	Cldn23	CLDN1	CLDN23
Cldn1	Cldn22	CLDN1	CLDN22
Cldn2	Cldn24	CLDN2	CLDN24
Cldn2	Cldn16	CLDN2	CLDN16
Cldn2	Cldn1	CLDN2	CLDN1
Cldn2	Cldn2	CLDN2	CLDN2
Cldn2	Cldn3	CLDN2	CLDN3
Cldn2	Cldn4	CLDN2	CLDN4
Cldn2	Cldn5	CLDN2	CLDN5
Cldn2	Cldn11	CLDN2	CLDN11
Cldn2	Cldn17	CLDN2	CLDN17
Cldn2	Cldn19	CLDN2	CLDN19
Cldn2	Cldn7	CLDN2	CLDN7
Cldn2	Cldn6	CLDN2	CLDN6
Cldn2	Cldn8	CLDN2	CLDN8
Cldn2	Cldn14	CLDN2	CLDN14
Cldn2	Cldn18	CLDN2	CLDN18
Cldn2	Cldn9	CLDN2	CLDN9
Cldn2	Cldn10	CLDN2	CLDN10
Cldn2	Cldn15	CLDN2	CLDN15
Cldn2	Cldn20	CLDN2	CLDN20
Cldn2	Cldn23	CLDN2	CLDN23
Cldn2	Cldn22	CLDN2	CLDN22
Cldn3	Cldn24	CLDN3	CLDN24
Cldn3	Cldn16	CLDN3	CLDN16
Cldn3	Cldn1	CLDN3	CLDN1
Cldn3	Cldn2	CLDN3	CLDN2
Cldn3	Cldn3	CLDN3	CLDN3
Cldn3	Cldn4	CLDN3	CLDN4
Cldn3	Cldn5	CLDN3	CLDN5
Cldn3	Cldn11	CLDN3	CLDN11
Cldn3	Cldn17	CLDN3	CLDN17
Cldn3	Cldn19	CLDN3	CLDN19
Cldn3	Cldn7	CLDN3	CLDN7
Cldn3	Cldn6	CLDN3	CLDN6
Cldn3	Cldn8	CLDN3	CLDN8
Cldn3	Cldn14	CLDN3	CLDN14
Cldn3	Cldn18	CLDN3	CLDN18
Cldn3	Cldn9	CLDN3	CLDN9
Cldn3	Cldn10	CLDN3	CLDN10
Cldn3	Cldn15	CLDN3	CLDN15
Cldn3	Cldn20	CLDN3	CLDN20
Cldn3	Cldn23	CLDN3	CLDN23
Cldn3	Cldn22	CLDN3	CLDN22
Cldn4	Cldn24	CLDN4	CLDN24
Cldn4	Cldn16	CLDN4	CLDN16
Cldn4	Cldn1	CLDN4	CLDN1
Cldn4	Cldn2	CLDN4	CLDN2
Cldn4	Cldn3	CLDN4	CLDN3
Cldn4	Cldn4	CLDN4	CLDN4
Cldn4	Cldn5	CLDN4	CLDN5
Cldn4	Cldn11	CLDN4	CLDN11
Cldn4	Cldn17	CLDN4	CLDN17
Cldn4	Cldn19	CLDN4	CLDN19
Cldn4	Cldn7	CLDN4	CLDN7
Cldn4	Cldn6	CLDN4	CLDN6
Cldn4	Cldn8	CLDN4	CLDN8
