gene1	gene2
Alcam	Cd6
Spn	Siglec1
Ptprc	Cd22
Itgb1	Vcam1
Itgb2	Cd226
Itgb2	Icam1
Itgb2	Icam2
Itgb2l	Cd226
Itgb2l	Icam1
Itgb2l	Icam2
Itgal	Cd226
Itgal	Icam1
Itgal	Icam2
Cd40	Cd40lg
Cdh15	Cdh15
Cdh4	Cdh4
Cdh3	Cdh3
Nectin2	Cd226
Nectin2	Nectin3
Nectin2	Tigit
Cdh1	Cdh1
Cldn11	Cldn24
Cldn11	Cldn16
Cldn11	Cldn1
Cldn11	Cldn2
Cldn11	Cldn3
Cldn11	Cldn4
Cldn11	Cldn5
Cldn11	Cldn11
Cldn11	Cldn17
Cldn11	Cldn19
Cldn11	Cldn7
Cldn11	Cldn6
Cldn11	Cldn8
Cldn11	Cldn14
Cldn11	Cldn18
Cldn11	Cldn9
Cldn11	Cldn13
Cldn11	Cldn10
Cldn11	Cldn15
Cldn11	Cldn20
Cldn11	Cldn23
Cldn11	Cldn34c4
Cldn11	Cldn34d
Cldn11	Cldn22
Mag	Mag
Mpz	Mpz
Mpz	Mpzl1
Mpzl1	Mpz
Mpzl1	Mpzl1
Nectin3	Nectin1
Nectin3	Tigit
Nfasc	Cntnap1
Nfasc	Cntn1
Ptprm	Ptprm
Cntn2	Cntn2
Cntn2	L1cam
Cntn2	Cntnap2
Cntn1	Nrcam
Nrxn1	Nlgn1
Nrxn1	Nlgn2
Nrxn1	Nlgn3
Nrxn2	Nlgn1
Nrxn2	Nlgn2
Nrxn2	Nlgn3
Nrxn3	Nlgn1
Nrxn3	Nlgn2
Nrxn3	Nlgn3
Negr1	Negr1
Cadm3	Cadm3
Cadm1	Cadm1
Cdh2	Cdh2
Ncam1	Ncam1
Ncam1	Ncam2
Ncam2	Ncam1
Ncam2	Ncam2
L1cam	L1cam
L1cam	Ncam1
L1cam	Ncam2
Nectin1	Nectin1
Pvr	Cd226
Pvr	Tigit
Sele	Glg1
Selp	Selplg
Selplg	Selp
Selplg	Sele
Cd34	Sell
Glycam1	Sell
Sell	Madcam1
Madcam1	Itgb7
Madcam1	Itga4
Vcam1	Itgb7
Vcam1	Itga4
Itga9	Vcam1
Itga4	Vcam1
Cd99	Cd99
Pecam1	Pecam1
Icam1	Itgb2
Icam1	Itgb2l
Icam1	Itgal
Icam2	Itgb2
Icam2	Itgb2l
Icam2	Itgal
Icam2	Itgam
Jam2	Jam2
Jam2	Jam3
Jam2	Itgb1
Jam2	Itga4
Jam3	Jam2
Jam3	Jam3
Jam3	Itgb2
Jam3	Itgb2l
Jam3	Itgam
Itgam	Icam1
F11r	F11r
F11r	Jam2
F11r	Jam3
F11r	Itgb2
F11r	Itgb2l
F11r	Itgal
Cd40lg	Cd40
Cdh5	Cdh5
Esam	Esam
Pdcd1lg2	Pdcd1
Cd274	Pdcd1
Cd274	Cd80
H2-Ea-ps	Cd4
H2-Aa	Cd4
H2-Ab1	Cd4
H2-Eb1	Cd4
H2-DMa	Cd4
H2-DMb1	Cd4
H2-DMb2	Cd4
H2-Oa	Cd4
H2-Ob	Cd4
Cd86	Cd28
Cd86	Ctla4
Cd80	Cd28
Cd80	Ctla4
Cd80	Cd274
Cd28	Cd80
Gm11127	Cd8a
Gm11127	Cd8b1
H2-Q6	Cd8a
H2-Q6	Cd8b1
H2-Q9	Cd8a
H2-Q9	Cd8b1
H2-M10.3	Cd8a
H2-M10.3	Cd8b1
H2-Bl	Cd8a
H2-Bl	Cd8b1
H2-D1	Cd8a
H2-D1	Cd8b1
H2-K1	Cd8a
H2-K1	Cd8b1
H2-L	Cd8a
H2-L	Cd8b1
H2-M10.1	Cd8a
H2-M10.1	Cd8b1
H2-M2	Cd8a
H2-M2	Cd8b1
H2-M3	Cd8a
H2-M3	Cd8b1
H2-M9	Cd8a
H2-M9	Cd8b1
H2-Q1	Cd8a
H2-Q1	Cd8b1
H2-Q10	Cd8a
H2-Q10	Cd8b1
H2-Q2	Cd8a
H2-Q2	Cd8b1
H2-Q4	Cd8a
H2-Q4	Cd8b1
H2-Q7	Cd8a
H2-Q7	Cd8b1
H2-Q8	Cd8a
H2-Q8	Cd8b1
H2-T10	Cd8a
H2-T10	Cd8b1
H2-T18	Cd8a
H2-T18	Cd8b1
H2-T22	Cd8a
H2-T22	Cd8b1
H2-T23	Cd8a
H2-T23	Cd8b1
H2-T24	Cd8a
H2-T24	Cd8b1
H2-T3	Cd8a
H2-T3	Cd8b1
H2-T9	Cd8a
H2-T9	Cd8b1
H2-M10.4	Cd8a
H2-M10.4	Cd8b1
H2-M11	Cd8a
H2-M11	Cd8b1
H2-M1	Cd8a
H2-M1	Cd8b1
H2-M10.5	Cd8a
H2-M10.5	Cd8b1
H2-M5	Cd8a
H2-M5	Cd8b1
H2-M10.2	Cd8a
H2-M10.2	Cd8b1
H2-M10.6	Cd8a
H2-M10.6	Cd8b1
Gm7030	Cd8a
Gm7030	Cd8b1
H2-T-ps	Cd8a
H2-T-ps	Cd8b1
Gm8909	Cd8a
Gm8909	Cd8b1
Gm10499	Cd8a
Gm10499	Cd8b1
Ocln	Ocln
Cldn24	Cldn24
Cldn24	Cldn16
Cldn24	Cldn1
Cldn24	Cldn2
Cldn24	Cldn3
Cldn24	Cldn4
Cldn24	Cldn5
Cldn24	Cldn11
Cldn24	Cldn17
Cldn24	Cldn19
Cldn24	Cldn7
Cldn24	Cldn6
Cldn24	Cldn8
Cldn24	Cldn14
Cldn24	Cldn18
Cldn24	Cldn9
Cldn24	Cldn13
Cldn24	Cldn10
Cldn24	Cldn15
Cldn24	Cldn20
Cldn24	Cldn23
Cldn24	Cldn34c4
Cldn24	Cldn34d
Cldn24	Cldn22
Cldn16	Cldn24
Cldn16	Cldn16
Cldn16	Cldn1
Cldn16	Cldn2
Cldn16	Cldn3
Cldn16	Cldn4
Cldn16	Cldn5
Cldn16	Cldn11
Cldn16	Cldn17
Cldn16	Cldn19
Cldn16	Cldn7
Cldn16	Cldn6
Cldn16	Cldn8
Cldn16	Cldn14
Cldn16	Cldn18
Cldn16	Cldn9
Cldn16	Cldn13
